,포지션,회사명,지역명,경력,링크
518,Devops 인프라엔지니어,비상교육,경기 과천시 , 경력 4년 이상,/wd/257654
519,[Tech] 품질개발팀 QA Engineer,우아한형제들(배달의민족),서울 송파구 , 경력 4년 이상,/wd/257603
520,[Tech] AI실 추천프로덕트팀 데이터엔지니어,우아한형제들(배달의민족),서울 송파구 , 경력 4년 이상,/wd/257605
521,딜리버리최적화팀 데이터분석 지원 담당자,우아한형제들(배달의민족),서울 송파구 , 신입-경력 10년,/wd/257606
522,백엔드 엔지니어,두어스,서울 서초구 , 경력 1-10년,/wd/242470
523,데이터 엔지니어,컬리,서울 강남구 , 경력 5-7년,/wd/246566
524,Lead Audio DSP Engineer (음성 신호처리 및 응용 시스템 개발),포티투닷(42dot),경기 , 경력 10년 이상,/wd/255033
525,Audio DSP Engineer (음성 신호처리 및 응용 시스템 개발),포티투닷(42dot),경기 , 경력 10년 이상,/wd/257396
526,AI 개발자,일만백만,서울 강남구 , 경력 3-10년,/wd/230871
527,SW개발 AI 개발자,더블티,경기 수원시 , 신입,/wd/257108
528,AI/ML Product Engineer,부릉,서울 서초구 , 경력 3-15년,/wd/257004
529,[인턴][포카마켓] 백엔드 Django 개발자,인플루디오,서울 마포구 , 신입,/wd/256404
530,[Mantra]  기계 학습 엔지니어/연구원_근무지 일본,원티드 재팬(wanted),서울 , 경력 5-15년,/wd/257115
531,보안 위협 분석 플랫폼 개발 / 데이터 처리 & ML 모델 연구(전문연구요원 가능),시큐레터,경기 성남시 , 경력 2년 이상,/wd/256992
532,DBA,디어유,서울 강남구 , 경력 5-10년,/wd/256921
533,HATIV Backend 개발자 (시니어),뷰노,서울 서초구 , 경력 2-12년,/wd/256772
534,HATIV Backend 개발자 (주니어),뷰노,서울 서초구 , 경력 2-5년,/wd/256770
535,Python 개발자,이수시스템,서울 서초구 , 경력 7-15년,/wd/256685
536,Backend Engineer,블루밍그레이스,서울 강남구 , 경력 3-10년,/wd/256114
537,AI 엔지니어,인플루엔셜(윌라),서울 서초구 , 경력 2-10년,/wd/256529
538,Backend 개발자,티비유,서울 서초구 , 경력 1년 이상,/wd/239334
539,[포카마켓] 백엔드 Django 개발자 (2년이상),인플루디오,서울 마포구 , 경력 2-6년,/wd/230788
540,Python Backend Engineer,에임(AIM),서울 강남구 , 신입-경력 7년,/wd/2447
541,AI/ML Research Engineer (3년이상),제이앤피메디(JNPMEDI),인천 연수구 , 경력 3년 이상,/wd/245214
542,Backend engineer,메디웨일,서울 강남구 , 경력 5-10년,/wd/184268
543,머신러닝 엔지니어,메디웨일,서울 강남구 , 신입,/wd/245705
544,데이터 사이언티스트,메디웨일,서울 강남구 , 신입,/wd/245706
545,백엔드 엔지니어 (Python),엘리스,서울 강남구 , 경력 3-5년,/wd/57878
546,소프트웨어 엔지니어 Desktop App,도르코퍼레이션,서울 강남구 , 경력 2-10년,/wd/204942
547,로봇 S/W 엔지니어,메디스비,서울 서대문구 , 신입-경력 20년,/wd/255575
548,CAD Engineer - 전문연구요원 가능,이마고웍스,서울 강남구 , 신입-경력 15년,/wd/226137
549,Backend Engineer 팀원,마이뮤직테이스트,서울 강남구 , 경력 3-7년,/wd/255716
550,ML Engineer,데이터메이커,대전 유성구 , 경력 3년 이상,/wd/195492
551,백엔드 엔지니어,스튜디오랩(STUDIO LAB),서울 서초구 , 경력 3년 이상,/wd/242708
552,AI 개발(STT/LLM),넥서스커뮤니티,서울 영등포구 , 경력 7-10년,/wd/198559
553,데이터 엔지니어,에이블리코퍼레이션,서울 서초구 , 경력 4년 이상,/wd/65802
554,해운 선사용 IT솔루션 개발(MSA방식),싸이버로지텍,서울 마포구 , 경력 5-15년,/wd/255417
555,AI 엔지니어 (5년 이상),버티컬바,서울 강남구 , 경력 5-10년,/wd/255370
556,Visual SLAM 연구원 (서울),폴라리스쓰리디(Polaris3D),서울 용산구 , 경력 3년 이상,/wd/255121
557,Visual SLAM 연구원 (포항),폴라리스쓰리디(Polaris3D),경북 포항시 , 경력 3년 이상,/wd/255122
558,[ATI]AI Software Engineer,앤서스랩코리아,서울 강남구 , 경력 3년 이상,/wd/245118
559,R&D / AI Researcher,반프,서울 강남구 , 경력 3년 이상,/wd/254881
560,백엔드 개발자,원체크,경기 안양시 , 경력 3-10년,/wd/254832
561,데이터 엔지니어,레진엔터테인먼트,서울 성동구 , 경력 5-10년,/wd/252891
562,의료 데이터분석가,에비드넷,서울 강남구 , 경력 1년 이상,/wd/254514
563,DBA·데이터엔지니어링,다날(Danal),경기 성남시 , 경력 10년 이상,/wd/244850
564,AI 최적화 Researcher,에너자이(ENERZAi),서울 강남구 , 신입,/wd/219652
565,(전문연구요원 가능) AI 컴파일러 엔지니어,에너자이(ENERZAi),서울 강남구 , 신입,/wd/110132
566,(전문연구요원 가능) ML Engineer/Researcher,에너자이(ENERZAi),서울 강남구 , 신입,/wd/110126
567,백엔드 개발자 (시니어),아트라미,대구 남구 , 경력 5-15년,/wd/254231
568,AI서비스 서버개발자,카카오페이증권(kakaopay증권),경기 성남시 , 경력 5년 이상,/wd/254012
569,데이터 분석가,중앙일보,서울 마포구 , 경력 5-10년,/wd/250767
570,AI engineer (prompt engineer),도슨티,서울 관악구 , 신입-경력 15년,/wd/218810
571,데이터 개발,중앙일보,서울 마포구 , 경력 5-8년,/wd/147952
572,SW개발팀 AI Leader 및 AI 개발,디오,부산 해운대구 , 경력 8-15년,/wd/253987
573,FMS 설계 및 개발 소프트웨어 엔지니어,토르드라이브,서울 영등포구 , 경력 3-10년,/wd/253979
574,백엔드 엔지니어,피에프씨테크놀로지스,서울 서초구 , 경력 1년 이상,/wd/244761
575,Back-end Engineer (Python),올거나이즈코리아(Allganize Korea),서울 강남구 , 경력 3-15년,/wd/251051
576,컨테이너 플랫폼 구축/운영 전문가 영입,에스케이씨앤씨(SK C&C),경기 성남시 , 경력 5-15년,/wd/253884
577,DB 구축/운영 전문가 영입,에스케이씨앤씨(SK C&C),경기 성남시 , 경력 5-15년,/wd/253873
578,2D/3D Vision Foundation Model Engineer,씨메스(CMES),서울 강남구 , 경력 3-10년,/wd/253423
579,LLM Researcher,애자일소다,서울 강남구 , 신입 이상,/wd/253458
580,Document AI Researcher,애자일소다,서울 강남구 , 신입 이상,/wd/253469
581,Backend Engineer (AI Assistant Platform),포티투닷(42dot),경기 성남시 , 경력 3-20년,/wd/253676
582,파이썬 개발자 [코어강화팀],원티드랩,서울 송파구 , 경력 5년 이상,/wd/236544
583,AI Researcher,셀렉트스타,서울 강남구 , 경력 3-10년,/wd/222017
584,"2D/3D Detection, Vision Inspection Engineer",씨메스(CMES),서울 강남구 , 신입-경력 10년,/wd/253422
585,Medical Imaging AI Research Engineer,휴톰,서울 마포구 , 경력 3-10년,/wd/253557
586,금융투자플랫폼 서비스 주니어 백엔드 개발자,퀀팃,서울 영등포구 , 경력 2-6년,/wd/253583
587,Senior Backend Engineer (AI Platform),포티투닷(42dot),경기 성남시 , 경력 5-20년,/wd/193794
588,금융투자플랫폼 서비스 시니어 백엔드 개발자,퀀팃,서울 영등포구 , 경력 5-14년,/wd/148896
589,프론트엔드 개발자,데일리펀딩,서울 강남구 , 경력 2-8년,/wd/30767
590,Back Office 개발자,데일리펀딩,서울 강남구 , 경력 3-6년,/wd/131289
591,백엔드 리드 개발자 (7년 이상),모던라이언,서울 영등포구 , 경력 7-15년,/wd/253350
592,데이터 컨설팅 및 구축 사업 PM/PL 담당자,비투엔,서울 용산구 , 경력 10년 이상,/wd/252816
593,AI/ML 엔지니어(2년~5년),데이터노우즈,서울 강남구 , 경력 2-5년,/wd/253322
594,AI 기술 기반 콘텐츠 혁신 프로젝트 리드 엔지니어(PM),이브로드캐스팅,서울 영등포구 , 경력 3년 이상,/wd/253196
595,[ATI]AI Engineer - LLM Application,앤서스랩코리아,서울 강남구 , 경력 3년 이상,/wd/245117
596,소프트웨어 개발자 및 CTO,모빌리티랩,경기 안산시 , 경력 3년,/wd/253040
597,개발,모빌리티랩,경남 창원시 , 경력 3년 이상,/wd/252922
598,[AI연구팀]NLP 딥러닝 엔지니어,텔레픽스,서울 영등포구 , 경력 2-10년,/wd/226146
599,SCM 개발/운영 및 솔루션 전문가 영입,에스케이씨앤씨(SK C&C),경기 성남시 , 경력 3-15년,/wd/252690
600,AI 개발자,르호사,서울 강남구 , 경력 3년 이상,/wd/243804
601,소프트웨어 엔지니어 (자율주행),마스오토,서울 서초구 , 경력 1-10년,/wd/198840
602,머신러닝 엔지니어,아이지에이웍스(IGAWorks),서울 용산구 , 신입-경력 5년,/wd/244779
603,Data Scientist,바이온사이트,서울 성동구 , 경력 3-10년,/wd/167495
604,Junior ML Engineer,바이온사이트,서울 성동구 , 경력 3년,/wd/246628
605,Senior ML Engineer,바이온사이트,서울 성동구 , 경력 10년 이상,/wd/246633
606,[전문연구요원 가능] 영상처리 알고리즘 개발자,유아이엠디,경기 과천시 , 신입-경력 2년,/wd/251951
607,서비스/인프라 엔지니어,마인즈앤컴퍼니,서울 강남구 , 경력 2-10년,/wd/231392
608,[기술본부] Data Warehouse Engineer (5년 이상),데브시스터즈(Devsisters),서울 강남구 , 경력 5년 이상,/wd/251918
609,가상자산추적분석 전문가,페어스퀘어랩,서울 서초구 , 경력 5-10년,/wd/251886
610,백엔드 개발자,슬로우플랫폼,서울 강동구 , 경력 2-5년,/wd/251888
611,Python 기반 비디오 스트리밍 백엔드 및 영상처리 파이프라인 개발,인휴먼즈,서울 용산구 , 경력 3년 이상,/wd/251806
612,빅데이터 K8S환경 구축 운영 (7년이상),미리비트,경기 성남시 , 경력 7년 이상,/wd/251274
613,클라우드 개발자 (3~10년차),미리비트,경기 성남시 , 경력 3-10년,/wd/251692
614,아키텍처 PM (15년차 이상),미리비트,경기 성남시 , 경력 15년 이상,/wd/251688
615,[キャディ株式会社]Data Engineer_근무지 일본,원티드 재팬(wanted),서울 , 경력 5-15년,/wd/251513
616,Simulation Software Engineer,토르드라이브,서울 영등포구 , 경력 3-10년,/wd/250911
617,데이터 기획 및 분석 (BI),해긴,서울 구로구 , 경력 8-20년,/wd/240082
618,Deep Learning Researcher (전문연 가능),아이브,서울 서초구 , 경력 2-10년,/wd/118628
619,머신비전 Application Engineer (전문연 가능),아이브,서울 서초구 , 경력 3-10년,/wd/118655
620,피부 질환 검출 모델 개발,룰루랩(lululab),서울 강남구 , 경력 1-5년,/wd/238946
621,Python 개발 연구원,엑스오비스,서울 강남구 , 경력 2-6년,/wd/250770
622,데이터 분석가 (3년차 이상),파이프트리스마트팜(PAIPTREESmartFarmInc.),서울 강남구 , 경력 3년 이상,/wd/250669
623,ML Engineer (LLM),비비던트코리아,서울 강남구 , 경력 3-10년,/wd/250559
624,"python, go 백엔드 개발자",크로논랩스,서울 마포구 , 경력 3년 이상,/wd/250476
625,Frontend Engineer(시니어),마이뮤직테이스트,서울 강남구 , 경력 3-7년,/wd/250400
626,DataScientist (전문연 지원 가능),마인즈앤컴퍼니,서울 강남구 , 경력 3-10년,/wd/215981
627,ML Engineer (전문연 지원 가능),마인즈앤컴퍼니,서울 강남구 , 경력 3-15년,/wd/249841
628,Backend Engineer (전문연 지원 가능),마인즈앤컴퍼니,서울 강남구 , 경력 3-20년,/wd/231440
629,AI Engineer (전문연 지원 가능),마인즈앤컴퍼니,서울 강남구 , 경력 3-10년,/wd/215978
630,Search Engineer,마인즈앤컴퍼니,서울 강남구 , 경력 3-15년,/wd/250003
631,[キャディ株式会社] MLOps Engineer_근무지 일본,원티드 재팬(wanted),서울 , 경력 5-15년,/wd/250091
632,[キャディ株式会社] Machine Learning Engineer_근무지 일본,원티드 재팬(wanted),서울 , 경력 5-15년,/wd/250087
633,AI 분야 소프트웨어 (4년이상),글로벌시스템스,대전 유성구 , 경력 4년 이상,/wd/250004
634,ML Engineer,토스뱅크,서울 강남구 , 경력 2-20년,/wd/203912
635,AI Model Production (LLM),업스테이지,경기 , 경력 2-15년,/wd/237208
636,Senior Backend Engineer · AI Platform,루닛(Lunit),서울 강남구 , 경력 6-13년,/wd/249522
637,AI 연구원,로완,서울 중구 , 경력 1-7년,/wd/248857
638,AI 연구 리더,로완,서울 중구 , 경력 5-20년,/wd/235682
639,AI 엔지니어,로완,서울 중구 , 경력 1-7년,/wd/249411
640,AI 엔지니어 리더,로완,서울 중구 , 경력 5-15년,/wd/229342
641,Backend Engineer (Python),뤼튼테크놀로지스,서울 서초구 , 경력 3년 이상,/wd/239124
642,데이터 사이언티스트,교보문고,서울 마포구 , 신입-경력 15년,/wd/84866
643,AI 엔지니어,원라인에이아이,서울 마포구 , 경력 2년 이상,/wd/248985
644,Senior Data Engineer - LLM,업스테이지,경기 , 경력 7-15년,/wd/248977
645,[AI반도체] NPU Field Application Engineer,모빌린트,서울 강남구 , 경력 5년 이상,/wd/248560
646,백엔드 엔지니어,미르니,서울 관악구 , 신입-경력 4년,/wd/248695
647,Deep Learning Engineer (음성/화자 인식),포티투닷(42dot),경기 , 경력 2-15년,/wd/241270
648,[AI반도체] Deep Learning Research Engineer,모빌린트,서울 강남구 , 경력 5-20년,/wd/75640
649,[AI반도체] Deep Learning Optimization Engineer,모빌린트,서울 강남구 , 신입-경력 20년,/wd/147525
650,[AI반도체] NPU Compiler Engineer (전문연구요원 가능),모빌린트,서울 강남구 , 신입-경력 10년,/wd/117659
651,AI 엔지니어,엘리스,서울 강남구 , 신입-경력 10년,/wd/198065
652,"웹개발자(Python, Django) 3년이상",리걸테크,서울 성동구 , 경력 3-7년,/wd/148349
653,TA(Technical  Architect)/DBA,메타넷글로벌,서울 강남구 , 경력 10-16년,/wd/248340
654,병역특례 전문연구요원(AI연구원),모빅랩,서울 서초구 , 경력 1-20년,/wd/248021
655,Senior AI Researcher,모빅랩,서울 서초구 , 경력 3-25년,/wd/205410
656,[개발운영] 시니어 AI 개발자,누리미디어(DBpia),서울 마포구 , 경력 7-10년,/wd/247998
657,데이터 엔지니어 - DW / BI 시스템 개발,카카오페이(kakaopay),경기 성남시 , 경력 5-10년,/wd/247935
658,데이터 엔지니어(Data Analytics Engineer),엔비티(NBT),서울 서초구 , 경력 7-14년,/wd/247877
659,[Mantra株式会社]機械学習エンジニア・リサーチャー／エンタメ×AIの最先端の研究開発をリード_근무지 일본,원티드 재팬(wanted),서울 , 경력 5-15년,/wd/247448
660,데이터 엔지니어,엘리스,서울 강남구 , 경력 3-7년,/wd/247657
661,백엔드 엔지니어 (Cloud),엘리스,서울 강남구 , 경력 2년 이상,/wd/237142
662,데이터 엔지니어(DE),기어세컨드,서울 마포구 , 경력 3년 이상,/wd/247509
663,Sensor Fusion Engineer (자율주행),포티투닷(42dot),경기 성남시 , 경력 5-20년,/wd/150909
664,Data Architect,빅밸류,서울 중구 , 신입,/wd/243688
665,Data Scientist,빅밸류,서울 중구 , 신입-경력 5년,/wd/242110
666,Control System Engineer,포티투닷(42dot),경기 성남시 , 경력 3-15년,/wd/185686
667,Data Scientist,바잉스퀘어,서울 강남구 , 경력 3년 이상,/wd/247294
668,Software Engineer (Back-end),코클,서울 강남구 , 경력 2-8년,/wd/37535
669,Computer Vision Engineer (Autonomous Driving),포티투닷(42dot),경기 성남시 , 경력 5-20년,/wd/216430
670,AI개발 엔지니어,코가로보틱스,서울 성동구 , 신입-경력 10년,/wd/245139
671,Senior Platform-Infra Engineer,바이온사이트,서울 성동구 , 경력 5년 이상,/wd/246620
672,Machine Learning Engineer (Auto Labeling),포티투닷(42dot),경기 성남시 , 경력 5-15년,/wd/118630
673,백엔드 개발자,토탈미디어그램,서울 강남구 , 경력 2년,/wd/246470
674,[프로그래머스] 백엔드 개발자(공통플랫폼팀),그렙(프로그래머스),서울 서초구 , 경력 3-10년,/wd/246051
675,Senior Backend Development,포지큐브(POSICUBE),서울 강남구 , 경력 5-15년,/wd/245694
676,AI 엔지니어,엔엑스엔랩스,서울 서초구 , 경력 3-7년,/wd/245623
677,데이터 사이언티스트(부피 알고리즘),안티그래비티,서울 성동구 , 경력 2년 이상,/wd/105496
678,AI (딥러닝) 연구 및 개발자,안티그래비티,서울 성동구 , 경력 5-15년,/wd/143273
679,데이터 사이언티스트,안티그래비티,서울 성동구 , 경력 1-20년,/wd/147683
680,데이터 엔지니어,이노케어플러스,서울 서초구 , 경력 3년 이상,/wd/244681
681,Data Scientist,앰버로드,서울 강남구 , 경력 2년 이상,/wd/191938
682,시스템 개발 PL - 부정 수급 관리,골든플래닛,서울 강남구 , 경력 7-12년,/wd/244242
683,데이터사이언스 팀장,해줌,서울 송파구 , 경력 5-20년,/wd/243806
684,백엔드 개발자,에디트콜렉티브,서울 강남구 , 경력 3-10년,/wd/157917
685,컴퓨테이셔널 디자이너,에디트콜렉티브,서울 강남구 , 신입,/wd/158799
686,광학 엔지니어,아폴론,서울 강서구 , 경력 2-10년,/wd/220368
687,Software Engineer (~6년),컨포트랩,서울 강남구 , 신입-경력 6년,/wd/205931
688,AI Model Development Strategy Manager,업스테이지,경기 , 경력 3-15년,/wd/237214
689,Localization Engineer (Junior),웨어러블에이아이,서울 영등포구 , 신입,/wd/239419
690,"Perception Engineer (Embedded, Senior)",웨어러블에이아이,서울 영등포구 , 경력 5-10년,/wd/239421
691,Autonomous Robotics Ai Engineer,에스티피씨,경기 성남시 , 경력 3-10년,/wd/241600
692,AI Engineer,라온데이터,서울 중구 , 신입,/wd/241585
693,3D 얼굴 정합 모델 개발,룰루랩(lululab),서울 강남구 , 경력 1-10년,/wd/238948
694,AI 엔지니어 (자연어처리/컴퓨터비전),드래프티파이,서울 강남구 , 경력 3-10년,/wd/174586
695,Python 데이터 처리 알고리즘 개발자,포지큐브(POSICUBE),서울 강남구 , 경력 1-5년,/wd/240355
696,인공지능 서비스 개발,자이언트스텝,서울 강남구 , 신입 이상,/wd/240999
697,SLAM Engineer,포티투닷(42dot),경기 성남시 , 경력 5-20년,/wd/216443
698,Machine Learning Engineer (End-to-End Driving),포티투닷(42dot),경기 성남시 , 경력 5-20년,/wd/216434
699,병역특례 전문연구요원 (석사 이상),커먼컴퓨터,서울 동작구 , 신입,/wd/240343
700,데이터 엔지니어,셰어라운드,서울 종로구 , 경력 5-10년,/wd/161537
701,Software Engineer - Multi Robot,베어로보틱스코리아,서울 성동구 , 경력 3-10년,/wd/240492
702,AI Engineer,아하랩스,경기 성남시 , 경력 3-10년,/wd/229283
703,NodeJS 백엔드 주니어 개발자,포지큐브(POSICUBE),서울 강남구 , 경력 1-3년,/wd/240353
704,ML 머신러닝 신입~초급,아이트럭,서울 서초구 , 경력 1-3년,/wd/180338
705,ML 머신러닝 중급 개발자,아이트럭,서울 서초구 , 경력 5-10년,/wd/180333
706,"Research Scientist, AI for Neuroimaging(전문연가능)",뷰노,서울 서초구 , 신입-경력 4년,/wd/239104
707,법률AI 용 백엔드/인프라 개발자,넥서스에이아이,서울 서초구 , 경력 1년 이상,/wd/239076
708,백엔드/시스템 개발자,스페이스비전에이아이,서울 마포구 , 경력 5년 이상,/wd/237780
709,백엔드 개발자,포스트랩,서울 강남구 , 경력 4년 이상,/wd/238317
710,Data Scientist (5년이상),피플리,서울 마포구 , 경력 5년 이상,/wd/237897
711,머신러닝 R&D 엔지니어,호두에이아이랩,서울 관악구 , 신입-경력 8년,/wd/236695
712,"구글클라우드 엔지니어 아키텍처 설계/기술지원(Data,AI/ML,Bigquery)",골든플래닛,서울 강남구 , 경력 5-10년,/wd/236393
713,3D Geometry SW 엔지니어,디오에프연구소,서울 성동구 , 경력 1-15년,/wd/208068
714,Deep Learning Engineer,제틱에이아이,서울 강남구 , 신입-경력 10년,/wd/234409
715,Software Engineer,제틱에이아이,서울 강남구 , 신입-경력 10년,/wd/234412
716,[전문연구요원 가능] 소프트웨어 개발자 (C++ ) (신입),메디인테크,서울 종로구 , 신입,/wd/150807
717,[전문연구요원 가능] 소프트웨어 개발자 (C++ ),메디인테크,서울 종로구 , 경력 2-10년,/wd/182341
718,Citrix NetScaler 엔지니어,누리인포스,경기 성남시 , 경력 3-7년,/wd/234397
719,Big Data Engineer,현대캐피탈,서울 중구 , 경력 4-10년,/wd/233632
720,시니어 파이썬 백엔드 엔지니어,알로카도스,서울 강남구 , 경력 5-15년,/wd/232077
721,AI 엔지니어,지바이크(gbike),서울 강남구 , 경력 1년 이상,/wd/233496
722,[리얼리] 백엔드 개발자,더리얼그룹,서울 성동구 , 경력 2-10년,/wd/207842
723,파이썬 프로그램 개발자,뉴로다임,서울 성동구 , 신입-경력 5년,/wd/231640
724,ML Research Scientist,트웰브랩스(Twelve Labs),서울 용산구 , 경력 3-10년,/wd/222670
725,MLOps Engineer (DevOps Engineer),플루언트,서울 강남구 , 경력 3-15년,/wd/213313
726,Senior Software Engineer (Embedded AI),토르드라이브,서울 영등포구 , 경력 3-10년,/wd/216427
727,Robotics Software Engineer,토르드라이브,서울 영등포구 , 경력 3-10년,/wd/229214
728,Data Scientist,한국그린데이터,서울 서초구 , 경력 3-7년,/wd/210157
729,AI Engineer,모플,서울 서초구 , 경력 2-14년,/wd/58355
730,Data Engineer,모플,대전 유성구 , 경력 1-3년,/wd/154911
731,백엔드 개발자,한국그린데이터,서울 서초구 , 경력 4-9년,/wd/222974
732,[전문연구요원 가능] 인공지능 연구원 (신입),메디인테크,서울 종로구 , 신입,/wd/147486
733,[전문연구요원 가능] 인공지능 연구원,메디인테크,서울 종로구 , 경력 1-10년,/wd/100405
734,Senior Sensor Firmware Engineer (10년 이상),브룩허스트거라지(B GARAGE),경기 성남시 , 경력 10-15년,/wd/226836
735,[하나금융융합기술원] AI Quant Researcher,하나금융티아이,서울 강남구 , 경력 5-15년,/wd/226411
736,AI Research Engineer - LLM,업스테이지,경기 , 경력 3-7년,/wd/226037
737,"보안솔루션 엔진 개발(C/C++, Linux기반)",윈스,경기 용인시 , 경력 1-10년,/wd/225473
738,Research Scientist (Medical AI),에이아이트릭스(AITRICS),서울 강남구 , 경력 5-15년,/wd/224316
739,데이터 분석 담당자 (3년 이상),윌로그,서울 강남구 , 경력 3-6년,/wd/224170
740,"AI 연구원 (MLOps, 엔지니어)",플루언트,서울 강남구 , 경력 2-15년,/wd/128700
741,"[전문연구요원 가능] C/C++, Python 로봇 제어 개발자",메디인테크,서울 종로구 , 경력 1-20년,/wd/100407
742,[전문연구요원 가능] 영상처리 개발자 (신입),메디인테크,서울 종로구 , 신입,/wd/147481
743,"[전문연구요원 가능] C/C++, Python 로봇 제어 개발자 (신입)",메디인테크,서울 종로구 , 신입,/wd/147487
744,[전문연구요원 가능] 영상처리 개발자,메디인테크,서울 종로구 , 경력 1-20년,/wd/127019
745,"[산업기능요원(병역특례, 보충역)] 데이터 엔지니어",와이피랩스(커넥팅),서울 강남구 , 신입,/wd/219655
746,인공지능 전문가,에이치엠이스퀘어,경기 용인시 , 신입-경력 20년,/wd/221103
747,생체신호 AI 엔지니어 (병역특례 / CTO 레벨 가능),엑소시스템즈,경기 성남시 , 경력 1-10년,/wd/78417
748,AI Back-End / Bigdata 엔지니어,제로원에이아이,경기 성남시 , 경력 3-10년,/wd/166683
749,AI  최적화 엔지니어,호두에이아이랩,서울 관악구 , 신입-경력 5년,/wd/215492
750,UNREAL ENGINE 개발자,비브스튜디오스,서울 강남구 , 경력 3-7년,/wd/218232
751,Medical AI Research Engineer(Senior),웨이센(waycenInc.),서울 강남구 , 경력 5-15년,/wd/108146
752,의료 텍스트 자연어처리(NLP) AI 연구원,테서,서울 강남구 , 경력 1-10년,/wd/172533
753,딥러닝 개발,파수,서울 마포구 , 경력 3-10년,/wd/216867
754,자사 제품 개발 AI 전문가,쿼리시스템즈,경기 성남시 , 경력 5-20년,/wd/199084
755,백엔드 개발자,데이터메이커,대전 유성구 , 경력 5-20년,/wd/195493
756,머신 비전 SW개발자 (3년 이상),커넥티드 인사이트,충남 천안시 , 경력 3-5년,/wd/205982
757,AI/NLP R&D Engineer (3년 이상),다이얼로그디자인에이전시,서울 송파구 , 경력 3-5년,/wd/186671
758,Simulation Engineer (Autonomous Driving),포티투닷(42dot),경기 용인시 , 경력 2-15년,/wd/171446
759,AI 개발자,굳갱랩스,경기 성남시 , 경력 2-4년,/wd/156373
760,검사장비 영상처리 비전 SW 엔지니어,머신앤비전,충남 천안시 , 경력 2-15년,/wd/200553
761,검사장비 제어 SW 엔지니어,머신앤비전,충남 천안시 , 경력 2-15년,/wd/106787
762,Staff Machine Learning Engineer,몰로코,서울 강남구 , 경력 7-20년,/wd/194016
763,딥러닝 엔지니어,다비오(Dabeeo),서울 마포구 , 경력 3-15년,/wd/189274
764,컴퓨터비전 연구개발자,다비오(Dabeeo),서울 마포구 , 경력 3-15년,/wd/169105
765,Sr. Backend Engineer,에이아이트릭스(AITRICS),서울 강남구 , 경력 5-10년,/wd/187397
766,인공지능 연구개발,카이어,서울 서초구 , 경력 1-10년,/wd/73517
767,Data Engineer,인핸스(Enhans),서울 서초구 , 경력 3-8년,/wd/154545
768,테크 멘토,포항공과대학교,경북 포항시 , 경력 3-10년,/wd/186510
769,[신입] VISION AI 연구/개발 분야 (팀원),피노키오랩,서울 강남구 , 신입,/wd/182774
770,"[기업부설연구소] 플랫폼 개발팀장 [JAVA, SPRINGBOOT5+]",아인잡(AINJOB),서울 강남구 , 경력 7-17년,/wd/140981
771,VISION AI 연구/개발 분야 (팀장),피노키오랩,서울 강남구 , 경력 2-10년,/wd/173891
772,VISION AI 연구/개발 분야 (팀원),피노키오랩,서울 강남구 , 경력 1-5년,/wd/175541
773,Blockchain Researcher (병역특례 전문연구요원),페어스퀘어랩,서울 서초구 , 경력 1-5년,/wd/166782
774,시니어 데이터 엔지니어,교보문고,서울 마포구 , 경력 8-15년,/wd/168560
775,데이터 엔지니어,교보문고,서울 마포구 , 경력 5-15년,/wd/84863
776,MLOps SW 개발자,호두에이아이랩,서울 관악구 , 경력 1-12년,/wd/155133
777,신호처리/알고리즘 PART,아이시냅스,서울 성동구 , 경력 1-5년,/wd/115205
778,C/C++개발자(3년~),제노레이,경기 성남시 , 경력 3-10년,/wd/80732
