"시점","통계분류(1)",통계분류(2),공연장 수,객석수,객석수,총 인구,인구1천명당 객석수
"시점","통계분류(1)",통계분류(2),소계,합계,평균,소계,소계
"2004","전체",소계,505,265465,,48583805,5.5
"2004","지역1",서울,126,60543,,10173162,6
"2004","지역1",부산,27,12325,,3666345,3.4
"2004","지역1",대구,24,13507,,2524712,5.3
"2004","지역1",인천,21,7923,,2578817,3.1
"2004","지역1",광주,15,7850,,1401172,5.6
"2004","지역1",대전,16,12037,,1443471,8.3
"2004","지역1",울산,7,4330,,1081453,4
"2004","지역1",경기,78,42828,,10462920,4.1
"2004","지역1",강원,25,12589,,1521375,8.3
"2004","지역1",충북,20,12510,,1488945,8.4
"2004","지역1",충남,22,12395,,1953406,6.3
"2004","지역1",전북,30,16585,,1906742,8.7
"2004","지역1",전남,26,12329,,1986192,6.2
"2004","지역1",경북,26,16390,,2695917,6.1
"2004","지역1",경남,33,16373,,3143814,5.2
"2004","지역1",제주,9,4951,,555362,8.9
"2004","지역3",특별/광역시,236,118515,,22869132,5.2
"2004","지역3",광역도,269,146950,,25714673,5.7
"2006","전체",소계,812,426018,524.7,47278951,9
"2006","지역1",서울,276,122260,443,9820171,12.4
"2006","지역1",부산,33,13961,423.1,3523582,4
"2006","지역1",대구,32,16953,529.8,2464547,6.9
"2006","지역1",인천,35,12045,344.1,2531280,4.8
"2006","지역1",광주,17,7730,454.7,1417716,5.5
"2006","지역1",대전,22,12686,576.6,1442856,8.8
"2006","지역1",울산,10,5298,529.8,1049177,5
"2006","지역1",경기,126,84153,667.9,10415399,8.1
"2006","지역1",강원,42,26046,620.1,1464559,17.8
"2006","지역1",충북,22,12240,556.4,1460453,8.4
"2006","지역1",충남,38,18399,484.2,1889495,9.7
"2006","지역1",전북,34,29077,855.2,1784013,16.3
"2006","지역1",전남,29,15036,518.5,1819819,8.3
"2006","지역1",경북,29,16767,578.2,2607641,6.4
"2006","지역1",경남,51,22665,444.4,3056356,7.4
"2006","지역1",제주,16,10702,668.9,531887,20.1
"2007","전체",소계,891,458423,514.5,47278951,9.7
"2007","지역1",서울,293,112681,384.6,9820171,11.5
"2007","지역1",부산,40,15127,378.2,3523582,4.3
"2007","지역1",대구,39,21403,548.8,2464547,8.7
"2007","지역1",인천,37,13569,366.7,2531280,5.4
"2007","지역1",광주,21,9476,451.2,1417716,6.7
"2007","지역1",대전,25,16834,673.4,1442856,11.7
"2007","지역1",울산,12,6010,500.8,1049177,5.7
"2007","지역1",경기,131,94276,719.7,10415399,9.1
"2007","지역1",강원,46,28626,622.3,1464559,19.5
"2007","지역1",충북,25,14118,564.7,1460453,9.7
"2007","지역1",충남,36,19658,546.1,1889495,10.4
"2007","지역1",전북,36,27807,772.4,1784013,15.6
"2007","지역1",전남,38,19751,519.8,1819819,10.9
"2007","지역1",경북,37,20494,553.9,2607641,7.9
"2007","지역1",경남,57,25908,454.5,3056356,8.5
"2007","지역1",제주,18,12685,704.7,531887,23.8
"2007","지역3",특별/광역시,467,195100,417.8,22249329,8.8
"2007","지역3",광역도,424,263323,621,25029622,10.5
"2007","지역4",수도권,461,220526,478.4,22766850,9.7
"2007","지역4",비수도권,430,237897,553.2,24512101,9.7
"2008","전체",소계,927,402148,433.8,49540367,8.1
"2008","지역1",서울,313,109831,350.9,10200827,10.8
"2008","지역1",부산,44,14932,339.4,3564577,4.2
"2008","지역1",대구,40,19654,491.4,2492724,7.9
"2008","지역1",인천,36,13963,387.9,2692696,5.2
"2008","지역1",광주,22,7946,361.2,1422702,5.6
"2008","지역1",대전,21,12143,578.2,1480895,8.2
"2008","지역1",울산,16,6101,381.3,1112407,5.5
"2008","지역1",경기,142,75965,535,11292264,6.7
"2008","지역1",강원,45,24983,555.2,1508575,16.6
"2008","지역1",충북,25,11172,446.9,1519587,7.4
"2008","지역1",충남,42,18808,447.8,2018537,9.3
"2008","지역1",전북,32,18224,569.5,1855772,9.8
"2008","지역1",전남,34,15467,454.9,1919000,8.1
"2008","지역1",경북,37,18116,489.6,2673931,6.8
"2008","지역1",경남,60,25327,422.1,3225255,7.9
"2008","지역1",제주,18,9516,528.7,560618,17
"2008","지역3",특별/광역시,492,184570,375.1,22966828,8
"2008","지역3",광역도,435,217578,500.2,26573539,8.2
"2008","지역4",수도권,491,199759,406.8,24185787,8.3
"2008","지역4",비수도권,436,202389,464.2,25354580,8
"2009","전체",소계,927,402148,433.8,49540367,8.1
"2009","지역1",서울,313,109831,350.9,10200827,10.8
"2009","지역1",부산,44,14932,339.4,3564577,4.2
"2009","지역1",대구,40,19654,491.4,2492724,7.9
"2009","지역1",인천,36,13963,387.9,2692696,5.2
"2009","지역1",광주,22,7946,361.2,1422702,5.6
"2009","지역1",대전,21,12143,578.2,1480895,8.2
"2009","지역1",울산,16,6101,381.3,1112407,5.5
"2009","지역1",경기,142,75965,535,11292264,6.7
"2009","지역1",강원,45,24983,555.2,1508575,16.6
"2009","지역1",충북,25,11172,446.9,1519587,7.4
"2009","지역1",충남,42,18808,447.8,2018537,9.3
"2009","지역1",전북,32,18224,569.5,1855772,9.8
"2009","지역1",전남,34,15467,454.9,1919000,8.1
"2009","지역1",경북,37,18116,489.6,2673931,6.8
"2009","지역1",경남,60,25327,422.1,3225255,7.9
"2009","지역1",제주,18,9516,528.7,560618,17
"2010","전체",소계,1021,433465,424.5,50515666,8.6
"2010","지역1",서울,357,123847,346.9,10312545,12
"2010","지역1",부산,51,16770,328.8,3567910,4.7
"2010","지역1",대구,48,18493,385.3,2511676,7.4
"2010","지역1",인천,39,13533,347,2758296,4.9
"2010","지역1",광주,29,10204,351.9,1454636,7
"2010","지역1",대전,25,11685,467.4,1503664,7.8
"2010","지역1",울산,14,6187,441.9,1126298,5.5
"2010","지역1",경기,144,74628,518.3,11786622,6.3
"2010","지역1",강원,49,23956,488.9,1529818,15.7
"2010","지역1",충북,27,13382,495.6,1549528,8.6
"2010","지역1",충남,47,18008,383.1,2075514,8.7
"2010","지역1",전북,37,24364,658.5,1868963,13
"2010","지역1",전남,36,16532,459.2,1918485,8.6
"2010","지역1",경북,46,24537,533.4,2689920,9.1
"2010","지역1",경남,54,24671,456.9,3290536,7.5
"2010","지역1",제주,18,12668,703.8,571255,22.2
"2010","지역3",특별/광역시,563,200719,356.5,23235025,8.6
"2010","지역3",광역도,458,232746,508.2,27280641,8.5
"2010","지역4",수도권,540,212008,392.6,24857463,8.5
"2010","지역4",비수도권,481,221457,460.4,25658203,8.6
"2010","시설특성",중앙정부,22,15519,705.4,,
"2010","시설특성",문예회관,310,193768,625.1,,
"2010","시설특성",기타(공공),205,91084,444.3,,
"2010","시설특성",대학로,142,23830,167.8,,
"2010","시설특성",기타(민간),342,109264,319.5,,
"2010","설립주체2",공공,537,300371,559.4,,
"2010","설립주체2",민간,484,133094,275,,
"2011","전체",소계,1093,489547,447.9,50734284,9.6
"2011","지역2",서울,385,137425,356.9,10249679,13.4
"2011","지역2",경기/인천,190,106167,558.8,14738689,7.2
"2011","지역2",강원,51,27004,529.5,1536448,17.6
"2011","지역2",충청,103,52287,507.6,5179790,10.1
"2011","지역2",전라,107,53737,502.2,5251834,10.2
"2011","지역2",경상,229,94113,411,13201688,7.1
"2011","지역2",제주,28,18814,671.9,576156,32.7
"2011","지역3",특별/광역시,615,221923,360.9,23223748,9.6
"2011","지역3",광역도,478,267624,559.9,27510536,9.7
"2011","지역4",수도권,575,243592,423.6,24988368,9.7
"2011","지역4",비수도권,518,245955,474.8,25745916,9.6
"2011","시설특성",중앙정부,22,13902,631.9,,
"2011","시설특성",문예회관,336,215279,640.7,,
"2011","시설특성",기타(공공),237,108011,455.7,,
"2011","시설특성",대학로,154,23560,153,,
"2011","시설특성",기타(민간),344,128795,374.4,,
"2011","설립주체1",중앙정부,22,13902,631.9,,
"2011","설립주체1",광역자치단체,75,59225,789.7,,
"2011","설립주체1",기초자치단체,463,239637,517.6,,
"2011","설립주체1",공기업,11,7946,722.4,,
"2011","설립주체1",재단법인,16,6646,415.4,,
"2011","설립주체1",사단법인,11,2467,224.3,,
"2011","설립주체1",상법인,141,59831,424.3,,
"2011","설립주체1",교육기관,68,51692,760.2,,
"2011","설립주체1",개인,218,35399,162.4,,
"2011","설립주체1",기타,68,12802,188.3,,
"2011","설립주체2",공공,595,337192,566.7,,
"2011","설립주체2",민간,498,152355,305.9,,
"2012","전체",소계,1188,527606,450.6,50948272,10.4
"2012","지역2",서울,435,145992,342.7,10195318,14.3
"2012","지역2",경기/인천,205,100413,499.6,14937280,6.7
"2012","지역2",강원,52,27087,520.9,1538630,17.6
"2012","지역2",충청,106,51219,487.8,5232105,9.8
"2012","지역2",전라,118,58626,501.1,5252175,11.2
"2012","지역2",경상,245,127343,524,13209051,9.6
"2012","지역2",제주,27,16926,626.9,583713,29
"2012","지역3",특별/광역시,681,263649,394.7,23224482,11.4
"2012","지역3",광역도,507,263957,524.8,27723790,9.5
"2012","지역4",수도권,640,246405,393,25132598,9.8
"2012","지역4",비수도권,548,281201,516.9,25815674,10.9
"2012","시설특성",중앙정부,25,15566,622.6,,
"2012","시설특성",문예회관,341,235884,691.7,,
"2012","시설특성",기타(공공),256,116717,457.7,,
"2012","시설특성",대학로,162,24448,152.8,,
"2012","시설특성",기타(민간),404,134991,346.1,,
"2012","설립주체1",중앙정부,25,15566,622.6,,
"2012","설립주체1",광역자치단체,85,90595,1065.8,,
"2012","설립주체1",기초자치단체,472,235205,499.4,,
"2012","설립주체1",공기업,13,9069,697.6,,
"2012","설립주체1",재단법인,21,7428,353.7,,
"2012","설립주체1",사단법인,12,2959,246.6,,
"2012","설립주체1",상법인,184,69589,390.9,,
"2012","설립주체1",교육기관,75,51611,716.8,,
"2012","설립주체1",개인,266,39571,151,,
"2012","설립주체1",기타,35,6013,187.9,,
"2012","설립주체2",공공,622,368167,592.9,,
"2012","설립주체2",민간,566,159439,289.9,,
"2013","전체",소계,1227,537402,438,51141463,10.5
"2013","지역2",서울,466,182312,391.2,10143645,18
"2013","지역2",경기/인천,210,93397,444.7,15114412,6.2
"2013","지역2",강원,53,20194,381,1542263,13.1
"2013","지역2",충청,102,48099,471.6,5275327,9.1
"2013","지역2",전라,120,49679,414,5253047,9.5
"2013","지역2",경상,248,129000,520.2,13218963,9.8
"2013","지역2",제주,28,14720,525.7,593806,24.8
"2013","지역3",특별/광역시,713,301656,423.1,23337004,12.9
"2013","지역3",광역도,514,235745,458.6,27804459,8.5
"2013","지역4",수도권,676,275710,407.9,25258057,10.9
"2013","지역4",비수도권,551,261692,474.9,25883406,10.1
"2013","시설특성",중앙정부,25,15566,622.6,,
"2013","시설특성",문예회관,339,225475,662,,
"2013","시설특성",기타(공공),260,121259,464.2,,
"2013","시설특성",대학로,170,32579,192.5,,
"2013","시설특성",기타(민간),433,142523,330.7,,
"2013","설립주체1",중앙정부,25,15566,622.6,,
"2013","설립주체1",광역자치단체,83,83057,997.2,,
"2013","설립주체1",기초자치단체,474,231913,487.6,,
"2013","설립주체1",공기업,13,10792,827.3,,
"2013","설립주체1",재단법인,22,10316,471.2,,
"2013","설립주체1",사단법인,14,2440,175.2,,
"2013","설립주체1",상법인,193,76970,400.9,,
"2013","설립주체1",교육기관,79,51009,648.1,,
"2013","설립주체1",개인,285,44341,156.4,,
"2013","설립주체1",기타,39,10997,274.7,,
"2013","설립주체2",공공,627,362299,578,,
"2013","설립주체2",민간,600,175102,291.7,,
"2014","전체",소계,1280,529822,413.9,51327916,10.3
"2014","지역2",서울,471,168205,357.1,10103233,16.6
"2014","지역2",경기/인천,211,103986,492.8,15260438,6.8
"2014","지역2",강원,53,24692,465.9,1544442,16
"2014","지역2",충청,106,53483,504.6,5329140,10
"2014","지역2",전라,129,55438,429.8,5253224,10.6
"2014","지역2",경상,271,102156,377,13230093,7.7
"2014","지역2",제주,39,21861,560.5,607346,36
"2014","지역3",특별/광역시,739,260313,352.3,23348701,11.1
"2014","지역3",광역도,541,269508,498.2,27979215,9.6
"2014","지역4",수도권,682,271175,397.6,25363671,10.7
"2014","지역4",비수도권,598,258647,432.5,25964245,10
"2014","시설특성",중앙정부,25,15624,625,0,0
"2014","시설특성",문예회관,362,219341,605.9,0,0
"2014","시설특성",기타(공공),165,26716,161.9,0,0
"2014","시설특성",대학로,271,110412,407.4,0,0
"2014","시설특성",기타(민간),457,157729,345.1,0,0
"2014","설립주체1",중앙정부,25,15624,625,0,0
"2014","설립주체1",광역자치단체,98,63953,652.6,0,0
"2014","설립주체1",기초자치단체,490,234723,479,0,0
"2014","설립주체1",공기업,12,6533,544.4,0,0
"2014","설립주체1",재단법인,22,8622,391.9,0,0
"2014","설립주체1",사단법인,14,2637,188.3,0,0
"2014","설립주체1",상법인,221,71328,322.7,0,0
"2014","설립주체1",교육기관,81,70422,869.4,0,0
"2014","설립주체1",개인,280,43669,156,0,0
"2014","설립주체1",기타,37,12311,332.7,0,0
"2014","설립주체2",공공,658,345377,524.9,0,0
"2014","설립주체2",민간,622,184445,296.5,0,0
"2015","전체",소계,1290,541615,419.9,51529338,10.5
"2015","지역1",서울,468,160046,342,10022181,16
"2015","지역1",부산,76,27416,360.7,3513777,7.8
"2015","지역1",대구,60,20357,339.3,2487829,8.2
"2015","지역1",인천,42,14643,348.6,2925815,5
"2015","지역1",광주,42,16492,392.7,1472199,11.2
"2015","지역1",대전,37,16931,457.6,1518775,11.1
"2015","지역1",울산,23,8873,385.8,1173534,7.6
"2015","지역1",세종,2,1120,560,210884,5.3
"2015","지역1",경기,157,77591,494.2,12522606,6.2
"2015","지역1",강원,50,25835,516.7,1549507,16.7
"2015","지역1",충북,27,12717,471,1583952,8
"2015","지역1",충남,46,24136,524.7,2077649,11.6
"2015","지역1",전북,47,29733,632.6,1869711,15.9
"2015","지역1",전남,53,21781,411,1908996,11.4
"2015","지역1",경북,59,29849,505.9,2702826,11
"2015","지역1",경남,67,31255,466.5,3364702,9.3
"2015","지역1",제주,34,22840,671.8,624395,36.6
"2015","지역2",서울,468,160046,342,10022181,16
"2015","지역2",경기/인천,199,92234,463.5,15448421,6
"2015","지역2",강원,50,25835,516.7,1549507,16.7
"2015","지역2",충청,112,54904,490.2,5391260,10.2
"2015","지역2",전라,142,68006,478.9,5250906,13
"2015","지역2",경상,285,117750,413.2,13242668,8.9
"2015","지역2",제주,34,22840,671.8,624395,36.6
"2015","지역3",특별/광역시,750,265878,354.5,23348701,11.4
"2015","지역3",광역도,540,275737,510.6,27979215,9.9
"2015","지역4",수도권,667,252280,378.2,25363671,9.9
"2015","지역4",비수도권,623,289335,464.4,25964245,11.1
"2015","시설특성",중앙정부,33,20601,624.3,,
"2015","시설특성",문예회관,370,227407,614.6,,
"2015","시설특성",기타(공공),273,117226,429.4,,
"2015","시설특성",대학로,156,26782,171.7,,
"2015","시설특성",민간[대학로 외],458,149599,326.6,,
"2015","설립주체1",중앙정부,33,20601,624.3,,
"2015","설립주체1",광역자치단체,104,69994,673,,
"2015","설립주체1",기초자치단체,489,241958,494.8,,
"2015","설립주체1",공기업,13,10965,843.5,,
"2015","설립주체1",재단법인,27,9986,369.9,,
"2015","설립주체1",사단법인,18,3105,172.5,,
"2015","설립주체1",상법인,210,70672,336.5,,
"2015","설립주체1",교육기관,91,60555,665.4,,
"2015","설립주체1",개인,289,49481,171.2,,
"2015","설립주체1",기타,16,4298,268.6,,
"2015","설립주체2",공공,676,365234,540.3,,
"2015","설립주체2",민간,614,176381,287.3,,
"2016","전체",소계,1268,536416,423,51696216,10.4
"2016","지역1",서울,437,149496,342.1,9930616,15.1
"2016","지역1",부산,75,25138,335.2,3498529,7.2
"2016","지역1",대구,60,19492,324.9,2484557,7.8
"2016","지역1",인천,40,14141,353.5,2943069,4.8
"2016","지역1",광주,40,13053,326.3,1469214,8.9
"2016","지역1",대전,43,18139,421.8,1514370,12
"2016","지역1",울산,21,8407,400.3,1172304,7.2
"2016","지역1",세종,2,1120,560,243048,4.6
"2016","지역1",경기,164,83620,509.9,12716780,6.6
"2016","지역1",강원,51,27401,537.3,1550806,17.7
"2016","지역1",충북,29,15340,529,1591625,9.6
"2016","지역1",충남,44,24641,560,2096727,11.8
"2016","지역1",전북,47,29857,635.3,1864791,16
"2016","지역1",전남,50,22387,447.7,1903914,11.8
"2016","지역1",경북,56,28797,514.2,2700398,10.7
