표측1,표측2,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014
4.국가,20.필리핀,,0.2,0.9,5.5,19.1,74.4,4.7,91.7,,,,175,0.6,1.7,4.6,11.4,81.7,,,93.1,,100,20,0,0,10,10,80,,,90,,100,3,0,0,0,100,0,,,100,,100,,0.1,0.7,3.3,20.2,75.7,,,95.9,,100,,0,0.2,5.2,26.5,68,,,94.5,,100,284,0,0.3,3.8,25.7,70.2,,,95.9,,100,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0
4.국가,21.인도네시아,,0,0.5,5.1,31,63.4,4.6,89.3,,,,417,0.2,0.7,4.3,19.4,75.3,,,94.7,,100,33,0,0,3,3,93.9,,,97,,100,1,0,0,0,0,100,,,100,,100,,0,0.2,6.4,39,54.4,,,93.4,,100,,0.4,0.4,9.2,42.6,47.4,,,90,,100,195,0.2,1.9,24.4,47.8,25.6,,,73.4,,100,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0
4.국가,22.베트남,,0,0.5,5.8,20.5,73.2,4.7,91.6,,,,125,0,1.6,1.6,19.2,77.6,,,96.8,,100,5,0,0,0,0,100,,,100,,100,1,0,0,0,0,100,,,100,,100,,1,1.2,6.1,32,59.7,,,91.7,,100,,0.1,0.6,8.8,54.6,35.9,,,90.5,,100,332,0,0.6,7.1,63.6,28.7,,,92.2,,100,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0
4.국가,23.몽골,,0,0,2.1,17.4,80.6,4.8,94.6,,,,31,0,0,6.5,19.4,74.2,,,93.5,,100,11,0,0,0,45.5,54.5,,,100,,100,,,,,,,,,,,,,0,0.7,9.5,44.1,45.7,,,89.7,,100,,0,0.5,10.6,47.3,41.5,,,88.8,,100,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0
4.국가,24.기타,,1.5,3.5,9.4,27.6,58.1,4.4,84.4,,,,"2,657.00",1.7,3,9.7,19.7,65.8,,,85.5,,100,663,0.5,1.7,8.6,19.8,69.5,,,89.3,,100,63,0,1.6,20.6,20.6,57.1,,,77.8,,100,,1.3,3.8,10.2,35.1,49.7,,,84.7,,100,,1.1,3.2,13.9,37.2,44.6,,,81.8,,100,787,1.8,3.8,14.5,32.1,47.9,,,79.9,,100,944,1.2,1.8,9.6,30.3,57.1,,,87.4,0,0,"1,098.00",0.4,1.3,9.6,41.9,46.8,,,88.7,0,0,930,0.5,2.2,11.6,38.3,47.4,,,85.7,0,0
5.성별,1.남성,,0.3,1.4,8.7,32.3,57.4,4.5,86.3,,,,"8,249.00",0.6,2.2,8,23.7,65.6,,,89.3,,100,"2,775.00",0.4,2.4,10.6,27.9,58.7,,,86.6,,100,412,0.7,3.9,21.4,32.3,41.7,,,74,,100,,0.6,2.5,13.4,44.7,38.8,,,83.5,,100,,0.7,2.8,13.5,47.2,35.7,,,83,,100,"6,217.00",0.5,2.5,12.8,48,36.2,,,84.2,,100,"4,960.00",0.3,2.6,14.1,49.3,33.8,,,83,0,0,"5,747.00",0.3,2.5,11.6,49.4,36.1,,,85.5,0,0,"5,368.00",0.3,2.8,13.6,55.6,27.8,,,83.4,0,0
5.성별,2.여성,,0.2,1,4.9,26.1,67.8,4.6,90.1,,,,"8,276.00",0.7,2,5.5,18,73.8,,,91.8,,100,"1,201.00",1,1.7,5.1,23.5,68.8,,,92.3,,100,105,1,1,8.6,34.3,55.2,,,89.5,,100,,0.6,2.8,11.1,46.2,39.4,,,85.6,,100,,0.8,2.6,11.2,47.4,38,,,85.5,,100,"7,624.00",0.4,2.5,10.2,47.7,39.2,,,87,,100,"7,043.00",0.3,3,11.9,48.8,36.1,,,84.9,0,0,"7,135.00",0.3,2.7,11.3,48.9,36.8,,,85.7,0,0,"6,656.00",0.2,2.2,10.5,59.4,27.6,,,87.1,0,0
6.연령,1.15~19세,,0.8,1.3,5.3,26.3,66.3,4.6,89,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,100,,,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.연령,2.20대,,0.2,1.4,5.3,26.2,66.8,4.6,89.5,,,,,,,,,,,,,,,,,,,,,,,,,,78,1.3,1.3,6.4,42.3,48.7,,,91,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.연령,3.30대,,0.2,1,6,30.1,62.6,4.5,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,176,1.1,3.4,17.6,39.8,38.1,,,77.8,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.연령,4.40대,,0.3,0.7,7.3,31.6,60.1,4.5,87.6,,,,,,,,,,,,,,,,,,,,,,,,,,149,0,4,28.9,29.5,37.6,,,67.1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.연령,5.50대,,0.1,1.1,7.5,28.2,63.2,4.5,88.3,,,,,,,,,,,,,,,,,,,,,,,,,,89,1.1,3.4,18,22.5,55.1,,,77.5,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.연령,6.60대 이상,,0.7,2.1,7.8,27.9,61.5,4.5,86.8,,,,,,,,,,,,,,,,,,,,,,,,,,23,0,4.3,8.7,8.7,78.3,,,87,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.연령,7.15~20세,,,,,,,,,,,,746,0.4,1.9,5.6,19.4,72.7,,,92.1,,100,167,0.6,1.2,7.8,18.6,71.9,,,90.4,,100,,,,,,,,,,,,,0.2,1.5,10.1,37.1,51.1,,,88.2,,100,,0.7,2.5,9.4,41.5,45.9,,,87.4,,100,953,0.3,3.5,10.6,44.1,41.6,,,85.7,,100,730,0.3,3.4,13,48.5,34.8,,,83.3,0,0,666,0.4,2.1,14.5,43.8,39.1,,,82.9,0,0,702,0.5,3.9,11.6,52.4,31.6,,,84,0,0
6.연령,8.21~30세,,,,,,,,,,,,"5,758.00",0.9,2.7,7.3,19,70.1,,,89.1,,100,"1,154.00",0.7,2.9,7.9,30,58.6,,,88.6,,100,,,,,,,,,,,,,0.4,2.6,11.5,45.4,40.1,,,85.6,,100,,1.2,3.1,12.1,46.1,37.4,,,83.6,,100,"5,655.00",0.3,2.4,11.7,48.4,37.3,,,85.6,,100,"5,231.00",0.2,2.6,13.8,49.8,33.6,,,83.4,0,0,"5,076.00",0.3,2.8,10.4,50.2,36.4,,,86.5,0,0,"4,560.00",0.3,2.6,9.8,61.8,25.4,,,87.2,0,0
6.연령,9.31~40세,,,,,,,,,,,,"4,356.00",0.6,2,7.2,22.8,67.5,,,90.2,,100,"1,165.00",0.6,2.2,10.6,28.5,58,,,86.5,,100,,,,,,,,,,,,,0.7,2.1,12.4,46.4,38.5,,,84.8,,100,,0.5,2.5,11.7,50.5,34.9,,,85.4,,100,"3,429.00",0.5,2.2,11.7,50.2,35.4,,,85.6,,100,"3,286.00",0.3,3.1,11.3,50.6,34.7,,,85.4,0,0,"3,487.00",0.4,2.7,9.5,51.9,35.6,,,87.5,0,0,"3,282.00",0.2,1.9,12.1,60.1,25.8,,,85.8,0,0
6.연령,10.41~50세,,,,,,,,,,,,"2,949.00",0.3,1.4,6.2,22,70.1,,,92.1,,100,761,0.4,1.7,9.7,25.9,62.3,,,88.2,,100,,,,,,,,,,,,,0.8,3.1,12,46,38.1,,,84.1,,100,,0.7,2,13.7,47.1,36.5,,,83.6,,100,"2,128.00",0.7,2.4,11.1,46.1,39.7,,,85.9,,100,"1,581.00",0.5,2,12.1,47.5,37.9,,,85.4,0,0,"1,972.00",0.2,2.4,14.4,46.7,36.3,,,83,0,0,"1,813.00",0.3,2.2,13.9,52.6,31,,,83.6,0,0
6.연령,11.51~60세,,,,,,,,,,,,"2,005.00",0.5,1.4,5.5,20.9,71.6,,,92.5,,100,550,0.5,1.8,7.6,22,68,,,90,,100,,,,,,,,,,,,,0.5,3.1,12.2,47,37.1,,,84.2,,100,,0.4,2.9,12.5,48.1,36.2,,,84.3,,100,"1,217.00",0.1,3,9.7,47.7,39.6,,,87.2,,100,859,0.2,2.6,13.3,44.1,39.8,,,83.9,0,0,"1,158.00",0.3,1.9,15.2,43.6,39.1,,,82.7,0,0,"1,203.00",0.1,2.4,14.8,50,32.7,,,82.7,0,0
6.연령,12.61세 이상,,,,,,,,,,,,711,1.3,2.7,6,19.8,70.2,,,90,,100,179,0.6,1.7,6.1,16.8,74.9,,,91.6,,100,,,,,,,,,,,,,1.6,4,14.6,42.5,37.3,,,79.8,,100,,0.4,3.3,10.8,43.8,41.7,,,85.5,,100,444,0.5,4.6,11.9,39.6,43.4,,,83,,100,287,1.6,6.9,14.7,37.1,39.7,,,76.8,0,0,491,0.5,3.5,11.4,48.8,35.8,,,84.6,0,0,424,0.2,4.5,14.4,47.7,33.1,,,80.9,0,0
6.연령,13.모름/무응답,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,0,16.1,51,32.9,,,83.9,,100,29,0,3.7,10.5,58.6,27.3,,,85.9,0,0,31,0,1.9,12.2,58.5,27.4,,,85.9,0,0,40,0,0,19.8,56.4,23.8,,,80.2,0,0
7.방한목적,1.여가/위락/휴식,,0.2,1.1,6.2,29.5,63,4.5,88.5,,,,"7,256.00",0.9,2.7,6.2,18.6,71.6,,,90.2,,100,270,1.5,1.5,4.4,26.3,66.3,,,92.6,,100,9,0,0,11.1,44.4,44.4,,,88.9,,100,,0.7,2.8,11.7,47.1,37.7,,,84.8,,100,,0.8,2.6,11.2,48.5,36.8,,,85.4,,100,"7,182.00",0.4,2.8,12,49.9,35,,,84.9,,100,"7,180.00",0.2,3.1,14.7,51.2,30.8,,,82,0,0,"7,293.00",0.3,2.8,12.8,53.4,30.8,,,84.2,0,0,"6,982.00",0.2,2.5,13.3,63.2,20.9,,,84.1,0,0
7.방한목적,2.친구/친지방문,,0.1,1.1,4.2,19,75.5,4.7,92.1,,,,"2,332.00",0.9,2.1,5.3,14,77.6,,,91.6,,100,658,0.6,1.5,3.3,16.9,77.7,,,94.5,,100,80,0,0,1.3,21.3,77.5,,,98.8,,100,,0.3,1.5,7.5,42.4,48.3,,,90.7,,100,,,,,,,,,,,,"1,388.00",0.6,2.5,9.2,41.8,45.9,,,87.7,,100,888,0.7,2.2,8.8,37.4,50.9,,,88.3,0,0,"1,177.00",0.6,2.8,8.9,38.2,49.5,,,87.7,0,0,785,0.7,2.8,7.9,41.7,46.8,,,88.5,0,0
7.방한목적,3.사업 또는 전문 활동,,0.2,1.1,9.3,34.4,54.9,4.4,85.7,,,,"5,699.00",0.3,1.4,7.9,26.6,63.9,,,90.4,,100,"2,481.00",0.4,2.4,11.4,28.9,56.9,,,85.8,,100,398,1,4,23.1,33.2,38.7,,,71.9,,100,,0.4,2.9,15.9,42.6,38.1,,,80.7,,100,,0.4,3.2,16,43.5,36.9,,,80.3,,100,"2,631.00",0.5,2.9,13.4,43.1,40.1,,,83.2,,100,"1,797.00",0.6,3.2,10.6,44.3,41.2,,,85.6,0,0,"2,413.00",0.4,2.5,9.6,45,42.4,,,87.4,0,0,"2,387.00",0.3,2.9,11.8,45.5,39.4,,,85,0,0
7.방한목적,4.교육,,0.4,2,4.6,25.4,67.6,4.6,89.5,,,,825,0.4,2.2,7.8,20.4,69.3,,,89.7,,100,458,0.7,2.2,7,29.3,60.9,,,90.2,,100,28,0,3.6,10.7,57.1,28.6,,,85.7,,100,,0.3,1.2,14.7,38.9,44.8,,,83.7,,100,,0.4,1.5,14.2,42.6,41.2,,,83.8,,100,799,0.8,3.2,11.5,47.1,37.4,,,84.5,,100,480,0.1,1.5,10,37.4,50.9,,,88.3,0,0,470,0.7,0.9,10.1,38,50.2,,,88.2,0,0,429,0.7,2.5,9.3,49.2,38.3,,,87.6,0,0
7.방한목적,5.기타,,1.9,2.3,6.1,22.2,67.6,4.5,87.8,,,,382,0.3,1.3,5.5,20.2,72.8,,,92.9,,100,101,2,3,5.9,22.8,66.3,,,89.1,,100,2,0,0,0,0,100,,,100,,100,,0.2,5.6,13.2,43.7,37.2,,,81,,100,,2.8,13.7,20,27.5,36,,,63.5,,100,39,0,0,14.3,26.8,58.9,,,85.7,,100,11,0,0,17.9,28.5,53.5,,,82.1,0,0,5,0,22.9,0,37,40.1,,,77.1,0,0,6,0,0,0,27,73,,,100,0,0
7.방한목적,6.종교및순례,,,,,,,,,,,,31,3.2,3.2,3.2,19.4,71,,,90.3,,100,8,0,0,12.5,12.5,75,,,87.5,,100,,,,,,,,,,,,,0,3.5,2.9,49.4,44.2,,,93.5,,100,,5.5,3.5,13.4,27,50.7,,,77.6,,100,64,0,2.3,4.9,47,45.8,,,92.8,,100,51,1.4,1.5,12.1,40.8,44.3,,,85.1,0,0,89,0,3.1,22.5,47.4,26.9,,,74.3,0,0,111,0,0,4.6,70.2,25.2,,,95.4,0,0
7.방한목적,7.뷰티/건강/치료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,0,0,12.2,47.4,40.4,,,87.8,,100,75,0,1.3,6.3,39,53.4,,,92.4,0,0,140,0,2.8,9.1,42.8,45.3,,,88,0,0,122,0,0.7,8,70.2,21.1,,,91.3,0,0
7.방한목적,8.쇼핑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,566.00",0.2,0.8,6.9,52.7,39.5,,,92.2,,100,"1,521.00",0,1.8,10.2,55.3,32.7,,,88,0,0,"1,294.00",0,2.2,9.7,47.8,40.3,,,88,0,0,"1,201.00",0.1,1.7,8.5,61.3,28.4,,,89.7,0,0
8.방한횟수,1.1회,,0.4,1.9,8.5,30.4,58.7,4.5,86.3,,,,"7,602.00",1.2,3.5,9.6,22,63.7,,,85.7,,100,"1,404.00",1,2.9,10,25.6,60.5,,,86,,100,129,0,2.3,14.7,39.5,43.4,,,82.9,,100,,0.9,4.1,14.6,47,33.3,,,80.3,,100,,1.2,3.8,14.4,47.5,33,,,80.5,,100,"6,471.00",0.5,3.4,13.7,49.2,33.2,,,82.3,,100,"7,375.00",0.4,3.5,15.8,49.4,30.8,,,80.3,0,0,"6,949.00",0.4,3.4,14.5,52.5,29.3,,,81.7,0,0,"7,832.00",0.3,2.9,14.2,61.5,21,,,82.5,0,0
8.방한횟수,2.2회,,0.2,0.9,4.9,31.1,62.9,4.6,88.9,,,,"2,878.00",0.3,1.3,6.3,23.2,68.9,,,92.2,,100,739,0.3,2.8,11,28.6,57.4,,,85.9,,100,100,1,4,25,30,40,,,70,,100,,0.5,2.2,12.5,47.4,37.4,,,84.9,,100,,0.7,2.1,12.1,50.9,34.3,,,85.2,,100,"2,474.00",0.5,2,10.3,52.1,35.2,,,87.3,,100,"1,522.00",0.2,2.1,10.2,53.3,34.2,,,87.5,0,0,"2,097.00",0.4,1.5,10.8,50.3,37.1,,,87.4,0,0,"1,551.00",0.3,2.2,10,56.9,30.6,,,87.5,0,0
8.방한횟수,3.3회,,0.1,0.2,4.7,28.8,66.2,4.6,90.2,,,,"1,640.00",0.2,0.8,4.8,21.1,73.1,,,94.2,,100,407,0.2,2,8.4,27,62.4,,,89.4,,100,59,1.7,3.4,18.6,28.8,47.5,,,76.3,,100,,0.5,1.1,10,51.4,37,,,88.4,,100,,0,1.9,9.1,51.3,37.7,,,89,,100,"1,315.00",0.3,2.1,11,51.5,35.2,,,86.7,,100,802,0.1,2,11.3,52.3,34.4,,,86.7,0,0,"1,015.00",0,3.1,9.5,45.8,41.5,,,87.3,0,0,794,0,1.3,8.3,54.3,36,,,90.3,0,0
8.방한횟수,4.4회 이상,,0.1,0.5,4.7,24.1,70.6,4.6,91.1,,,,"4,405.00",0.1,0.7,2.7,17.2,79.3,,,96.5,,100,"1,426.00",0.4,1.2,6.9,26.4,65,,,91.4,,100,229,0.9,3.5,18.3,31,46.3,,,77.3,,100,,0.3,1.5,8.9,40.3,49.1,,,89.4,,100,,0.3,1.8,10.1,43.4,44.4,,,87.8,,100,"3,581.00",0.2,1.4,8,41.2,49.2,,,90.5,,100,"2,304.00",0.3,1.3,5.4,43.4,49.7,,,93.1,0,0,"2,821.00",0.2,1.3,5.2,41.3,52,,,93.3,0,0,"1,848.00",0.1,1.2,4.9,43.6,50.2,,,93.7,0,0
9.여행형태,1.개별여행,,0.3,1.1,6,28,64.5,4.6,88.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2.3,11.7,44.9,40.7,,,85.6,,100,,0.6,2.4,11.9,47.5,37.6,,,85.1,,100,"11,462.00",0.4,2.4,11.1,47.2,38.8,,,86,,100,"8,084.00",0.4,2.5,11.4,46,39.7,,,85.6,0,0,"8,749.00",0.3,2.2,10.1,46.3,41.1,,,87.4,0,0,"8,285.00",0.3,2.3,11.8,55.2,30.5,,,85.6,0,0
9.여행형태,2.에어텔,,0,1.3,6.5,27.9,64.3,4.6,88.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.3,10.4,38.8,46.4,,,85.2,,100,,2.4,7,13.5,37.6,39.6,,,77.2,,100,773,0.7,4.8,11.7,39.9,43,,,82.8,,100,917,0.1,1.6,10.3,52.4,35.5,,,87.9,0,0,758,0,1.7,7.8,51.4,39,,,90.4,0,0,741,0.4,2.2,7.8,55,34.5,,,89.5,0,0
9.여행형태,3.단체여행,,0,1.3,9.8,34.5,54.4,4.4,85.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.2,14.8,52.5,27.4,,,79.9,,100,,0.4,2.2,13.3,52.5,31.6,,,84.1,,100,"1,606.00",0.1,2,13,56.4,28.5,,,84.9,,100,"3,002.00",0.1,3.9,17.3,56,22.7,,,78.7,0,0,"3,375.00",0.3,3.8,15.8,56,24,,,80.1,0,0,"2,998.00",0.2,2.9,13.2,65.4,18.4,,,83.8,0,0
10.입국과정,1.자가격리포함,,,,,,,,,,,,,,,,,,,,,,,"1,849.00",0.5,2.7,9.4,30.2,57.3,,,87.5,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.입국과정,2.자가격리미포함,,,,,,,,,,,,,,,,,,,,,,,"2,127.00",0.7,1.8,8.6,23.4,65.6,,,89,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.직업,"1.공무원, 군인",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628,1.3,3.5,14.7,41.1,39.4,,,80.5,,100,505,0.5,2.4,12.9,53.1,31.1,,,84.2,0,0,709,0.2,3.7,10.6,49.4,36.1,,,85.5,0,0,636,0.4,2.5,8.5,56.8,31.8,,,88.5,0,0
11.직업,"2.기업인, 경영직",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,464.00",0.5,1.8,9.1,41.8,46.8,,,88.6,,100,"1,156.00",0.4,3,9.8,42,44.7,,,86.8,0,0,"1,327.00",0.4,1.3,7.8,42.2,48.2,,,90.5,0,0,"1,309.00",0.1,1.8,9.8,46.2,42.1,,,88.3,0,0
11.직업,"3.사무,기술직",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,543.00",0.5,3.2,12.9,48.3,35.1,,,83.4,,100,"2,434.00",0.1,2.3,12.8,54.7,30,,,84.7,0,0,"2,733.00",0.1,3,11.8,55,30,,,85.1,0,0,"2,546.00",0.3,2.8,12.2,63.6,21.1,,,84.7,0,0
11.직업,"4.판매, 서비스직",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,611.00",0.1,1.6,9.7,51.5,37,,,88.5,,100,"1,423.00",0.2,2,12.9,53.2,31.6,,,84.9,0,0,"1,511.00",0.6,2,12,49.7,35.7,,,85.3,0,0,"1,484.00",0.1,2,10.5,64.4,23,,,87.4,0,0
11.직업,5.전문직,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,312.00",0.5,3.2,12.6,40.4,43.3,,,83.7,,100,"1,118.00",0.4,3.7,14.1,43.9,37.8,,,81.8,0,0,"1,102.00",0.2,4.1,9.5,47.3,38.8,,,86.1,0,0,"1,207.00",0.4,3.2,14.6,49.9,31.9,,,81.8,0,0
11.직업,6.생산/기능/노무,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563,0.1,2.3,13.5,55.3,28.8,,,84.1,,100,422,0,2.8,16.6,56.3,24.4,,,80.7,0,0,504,0.4,2.2,24.6,46.4,26.4,,,72.8,0,0,524,0,1.7,25.3,54,19.1,,,73,0,0
11.직업,7.자영업자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,635.00",0.3,2.3,8.6,54.6,34.2,,,88.8,,100,"1,198.00",0.4,2.3,11,49.7,36.6,,,86.3,0,0,"1,450.00",0.2,2.1,9.5,48.7,39.5,,,88.2,0,0,949,0,1.9,9.6,58.5,30,,,88.5,0,0
11.직업,8.학생,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,269.00",0.4,2.6,11.5,45.8,39.7,,,85.5,,100,"1,927.00",0.2,3.1,14.1,45.5,37.1,,,82.6,0,0,"1,599.00",0.4,1.7,11.3,47.4,39.2,,,86.6,0,0,"1,884.00",0.6,2.8,10.1,58.8,27.8,,,86.6,0,0
11.직업,9.주부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647,0,1,9.9,55.8,33.3,,,89,,100,557,0.3,2,12.4,44.1,41.2,,,85.3,0,0,552,0.4,1.9,11.9,48.9,37,,,85.8,0,0,456,0.1,1.9,10.1,55,32.8,,,87.9,0,0
11.직업,10.은퇴자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,0.9,3,15.4,51,29.6,,,80.6,,100,141,1.1,8.3,8.2,39.7,42.7,,,82.4,0,0,293,0.7,5.2,13.8,50,30.3,,,80.3,0,0,199,0.1,2.2,16.5,63.3,17.9,,,81.2,0,0
11.직업,11.무직,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,0,4.5,13.3,43.8,38.5,,,82.3,,100,224,0.6,2.5,13.8,50.9,32.3,,,83.1,0,0,258,0.1,3.1,13,46,37.7,,,83.7,0,0,181,0,0.9,13.8,52.7,32.6,,,85.2,0,0
11.직업,12.기타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721,0.6,2.2,12.3,49,35.8,,,84.9,,100,889,0.6,3.9,13.4,46.6,35.5,,,82.1,0,0,783,0.2,3.4,13.4,48.1,34.9,,,83,0,0,629,0.2,3.7,12.7,58.5,24.9,,,83.4,0,0
11.직업,13.무응답,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0,2.4,18,49.8,29.7,,,79.6,,100,10,0,21.4,7.7,33.3,37.5,,,70.9,0,0,62,0,6.8,2.1,55.7,35.3,,,91.1,0,0,19,0,0,34.2,38.9,26.9,,,65.8,0,0
